POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Chris Gayle
RCB",733,15,14,2,128*,61.08,456,160.74,1,7,46,59,2012
2,"Gautam Gambhir
KKR",590,17,17,2,93,39.33,411,143.55,0,6,64,17,2012
3,"Shikhar Dhawan
DEC",569,15,15,1,84,40.64,439,129.61,0,5,58,18,2012
4,"Ajinkya Rahane
RR",560,16,16,2,103*,40.00,433,129.33,1,3,73,10,2012
5,"Virender Sehwag
DC",495,16,16,1,87*,33.00,307,161.23,0,5,57,19,2012
6,"Cameron White
DEC",479,13,13,2,78,43.54,320,149.68,0,5,41,20,2012
7,"Rahul Dravid
RR",462,16,16,0,58,28.87,412,112.13,0,2,63,4,2012
8,"Suresh Raina
CSK",441,19,18,1,73,25.94,325,135.69,0,1,36,19,2012
9,"Rohit Sharma
MI",433,17,16,2,109*,30.92,342,126.60,1,3,39,18,2012
10,"Mandeep Singh
PBKS",432,16,16,0,75,27.00,342,126.31,0,2,53,7,2012
11,"Jacques Kallis
KKR",409,17,17,1,79,25.56,384,106.51,0,2,34,10,2012
12,"Robin Uthappa
PWI",405,16,16,1,69,27.00,343,118.07,0,2,38,10,2012
13,"Faf du Plessis
CSK",398,13,12,0,73,33.16,304,130.92,0,3,29,17,2012
14,"David Hussey
PBKS",396,16,15,3,68*,33.00,305,129.83,0,2,28,17,2012
15,"Dwayne Bravo
CSK",371,19,16,8,48,46.37,264,140.53,0,0,20,20,2012
16,"Virat Kohli
RCB",364,16,15,2,73*,28.00,326,111.65,0,2,33,9,2012
17,"Steve Smith
PWI",362,15,14,5,47*,40.22,267,135.58,0,0,24,14,2012
18,"MS Dhoni
CSK",358,19,17,5,51*,29.83,278,128.77,0,1,26,9,2012
19,"Owais Shah
RR",340,13,13,4,76,37.77,256,132.81,0,3,24,16,2012
20,"Shaun Marsh
PBKS",336,13,13,2,68*,30.54,280,120.00,0,2,39,7,2012
21,"Murali Vijay
CSK",336,14,14,1,113,25.84,267,125.84,1,0,39,10,2012
22,"Mahela Jayawardena
DC",335,16,15,3,56*,27.91,298,112.41,0,3,39,3,2012
23,"Ambati Rayudu
MI",333,17,15,6,81*,37.00,252,132.14,0,2,21,14,2012
24,"Sachin Tendulkar
MI",324,13,13,2,74,29.45,283,114.48,0,2,39,4,2012
25,"AB de Villiers
RCB",319,16,13,5,64*,39.87,198,161.11,0,3,26,15,2012
