POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
63,"Mahipal Lomror
RCB",135,12,10,2,54*,16.88,97,139.17,0,1,9,8,2023
64,"Rashid Khan
GT",130,17,9,5,79*,32.50,60,216.66,0,1,8,13,2023
65,"Mitchell Marsh
DC",128,9,9,0,63,14.22,97,131.95,0,1,11,7,2023
66,"Moeen Ali
CSK",124,15,10,3,23,17.71,91,136.26,0,0,12,6,2023
67,"Matthew Short
PBKS",117,6,6,0,36,19.50,92,127.17,0,0,15,4,2023
68,"Abhinav Manohar
GT",114,9,6,0,42,19.00,83,137.34,0,0,6,7,2023
69,"Shardul Thakur
KKR",113,11,10,2,68,14.13,70,161.42,0,1,13,4,2023
70,"Aman Khan
DC",110,11,9,1,51,13.75,101,108.91,0,1,7,6,2023
71,"Prithvi Shaw
DC",106,8,8,0,54,13.25,85,124.70,0,1,16,1,2023
72,"Anmolpreet Singh
SRH",105,4,4,0,36,26.25,82,128.04,0,0,15,2,2023
73,"MS Dhoni
CSK",104,16,12,8,32*,26.00,57,182.45,0,0,3,10,2023
74,"Prerak Mankad
LSG",93,5,5,2,64*,31.00,72,129.16,0,1,12,2,2023
75,"Anuj Rawat
RCB",91,9,7,4,29*,30.33,71,128.16,0,0,6,4,2023
76,"Jagadeesan Narayan
KKR",89,6,6,0,36,14.83,81,109.87,0,0,14,1,2023
77,"Rahul Tewatia
GT",87,17,10,6,20*,21.75,57,152.63,0,0,3,7,2023
78,"Deepak Hooda
LSG",84,12,12,1,17,7.64,90,93.33,0,0,3,2,2023
79,"Riyan Parag
RR",78,7,7,1,20,13.00,66,118.18,0,0,4,5,2023
80,"Harpreet Bhatia
PBKS",76,3,3,0,41,25.33,59,128.81,0,0,8,3,2023
81,"Bhanuka Rajapaksa
PBKS",71,4,4,1,50,23.67,62,114.51,0,1,6,2,2023
82,"Vivrant Sharma
SRH",69,3,1,0,69,69.00,47,146.80,0,1,9,2,2023
83,"Ravichandran Ashwin
RR",67,13,10,4,30,11.17,51,131.37,0,0,5,3,2023
84,"Lalit Yadav
DC",66,6,6,1,38,13.20,59,111.86,0,0,8,0,2023
85,"Krishnappa Gowtham
LSG",61,7,7,3,23,15.25,37,164.86,0,0,2,5,2023
86,"Washington Sundar
SRH",60,7,5,1,24*,15.00,60,100.00,0,0,6,0,2023
87,"Michael Bracewell
RCB",58,5,4,2,26,29.00,47,123.40,0,0,6,1,2023
88,"Sarfaraz Khan
DC",53,4,4,0,30,13.25,62,85.48,0,0,4,1,2023
89,"Harpreet Brar
PBKS",52,13,8,2,17*,8.67,41,126.82,0,0,5,2,2023
90,"Ripal Patel
DC",49,5,4,1,23,16.33,43,113.95,0,0,3,1,2023
91,"Shahbaz Ahmed
RCB",42,10,6,2,20*,10.50,39,107.69,0,0,3,1,2023
92,"Bhuvneshwar Kumar
SRH",42,14,6,3,27,14.00,47,89.36,0,0,4,0,2023
93,"Glenn Phillips
SRH",39,5,5,0,25,7.80,22,177.27,0,0,2,4,2023
94,"Marco Jansen
SRH",39,8,6,3,17*,13.00,43,90.69,0,0,4,0,2023
95,"Anrich Nortje
DC",37,10,7,4,23*,12.33,29,127.58,0,0,6,0,2023
96,"Vishnu Vinod
MI",37,3,3,0,30,12.33,31,119.35,0,0,2,2,2023
97,"Suyash S Prabhudessai
RCB",35,5,4,0,19,8.75,29,120.68,0,0,1,2,2023
98,"David Willey
RCB",35,4,3,3,20*,-,32,109.37,0,0,4,0,2023
99,"Wanindu Hasaranga
RCB",33,8,5,3,12*,16.50,28,117.85,0,0,3,0,2023
100,"Abishek Porel
DC",33,4,4,0,20,8.25,31,106.45,0,0,1,2,2023
101,"Kuldeep Yadav
DC",31,14,10,8,10*,15.50,48,64.58,0,0,2,0,2023
102,"Dasun Shanaka
GT",26,3,3,1,17,13.00,26,100.00,0,0,2,1,2023
103,"Piyush Chawla
MI",25,16,4,2,18,12.50,22,113.63,0,0,1,1,2023
104,"Tristan Stubbs
MI",25,2,2,0,20,12.50,31,80.64,0,0,2,0,2023
105,"Hrithik Shokeen
MI",23,8,3,2,18*,23.00,17,135.29,0,0,4,0,2023
106,"Anukul Roy
KKR",23,4,4,2,13*,11.50,19,121.05,0,0,3,0,2023
107,"Adil Rashid
SRH",22,2,2,0,18,11.00,16,137.50,0,0,2,1,2023
108,"Priyam Garg
DC",22,2,2,0,12,11.00,23,95.65,0,0,1,0,2023
109,"David Wiese
KKR",21,3,3,2,12*,21.00,11,190.90,0,0,0,3,2023
110,"Mayank Markande
SRH",21,10,3,3,18*,-,13,161.53,0,0,2,1,2023
111,"Sunil Narine
KKR",21,14,10,3,7*,3.00,25,84.00,0,0,2,1,2023
112,"Rishi Dhawan
PBKS",20,6,3,1,19,10.00,12,166.66,0,0,1,1,2023
113,"Ravi Bishnoi
LSG",20,15,7,4,5,6.67,27,74.07,0,0,1,0,2023
114,"Umran Malik
SRH",19,8,2,1,19*,19.00,8,237.50,0,0,1,2,2023
115,"Umesh Yadav
KKR",19,8,5,3,6*,9.50,18,105.55,0,0,1,0,2023
116,"Amit Mishra
LSG",19,7,1,0,19,19.00,30,63.33,0,0,2,0,2023
117,"Arshad Khan
MI",18,6,3,1,15*,9.00,15,120.00,0,0,0,1,2023
118,"Akash Deep
RCB",17,2,1,0,17,17.00,8,212.50,0,0,2,1,2023
119,"Akeal Hosein
SRH",16,1,1,1,16*,-,10,160.00,0,0,1,1,2023
120,"Trent Boult
RR",16,10,4,3,15,16.00,14,114.28,0,0,1,1,2023
121,"Praveen Dubey
DC",16,1,1,0,16,16.00,20,80.00,0,0,2,0,2023
122,"Naveen-Ul-Haq
LSG",16,8,3,2,13,16.00,21,76.19,0,0,2,0,2023
123,"Yash Dhull
DC",16,4,3,0,13,5.33,23,69.56,0,0,1,0,2023
124,"Ben Stokes
CSK",15,2,2,0,8,7.50,14,107.14,0,0,2,0,2023
125,"Mandeep Singh
KKR",14,3,3,0,12,4.67,16,87.50,0,0,0,1,2023
126,"Arjun Tendulkar
MI",13,4,1,0,13,13.00,9,144.44,0,0,0,1,2023
127,"Vyshak Vijaykumar
RCB",13,7,2,1,13*,13.00,9,144.44,0,0,0,1,2023
128,"Kedar Jadhav
RCB",12,2,1,1,12*,-,10,120.00,0,0,1,0,2023
129,"Jason Holder
RR",12,8,3,1,11,6.00,11,109.09,0,0,0,1,2023
130,"Karan Sharma
LSG",12,2,2,0,9,6.00,21,57.14,0,0,0,0,2023
131,"Mark Wood
LSG",11,4,2,1,10*,11.00,5,220.00,0,0,1,1,2023
132,"Sanvir Singh
SRH",11,2,2,1,7,11.00,9,122.22,0,0,1,1,2023
133,"Manan Vohra
LSG",10,1,1,0,10,10.00,11,90.90,0,0,1,0,2023
134,"Joe Root
RR",10,3,1,0,10,10.00,15,66.66,0,0,1,0,2023
135,"Adam Zampa
RR",10,6,3,0,7,3.33,16,62.50,0,0,0,0,2023
136,"Jaydev Unadkat
LSG",9,3,1,0,9,9.00,7,128.57,0,0,1,0,2023
137,"Noor Ahmad
GT",8,13,3,1,7*,4.00,9,88.88,0,0,1,0,2023
138,"Mukesh Kumar
DC",7,10,3,3,6*,-,9,77.77,0,0,0,0,2023
139,"Rovman Powell
DC",7,3,3,0,4,2.33,9,77.77,0,0,1,0,2023
140,"Alzarri Joseph
GT",7,7,2,2,7*,-,12,58.33,0,0,1,0,2023
141,"Harshal Patel
RCB",6,13,2,0,6,3.00,6,100.00,0,0,0,1,2023
142,"Kumar Kartikeya Singh
MI",6,8,1,0,6,6.00,7,85.71,0,0,1,0,2023
143,"Jason Behrendorff
MI",6,12,2,2,3*,-,9,66.66,0,0,0,0,2023
144,"Chris Jordan
MI",6,6,2,0,4,3.00,12,50.00,0,0,0,0,2023
145,"Mohammad Shami
GT",5,17,2,0,5,2.50,6,83.33,0,0,1,0,2023
146,"Litton Das
KKR",4,1,1,0,4,4.00,4,100.00,0,0,1,0,2023
147,"Jofra Archer
MI",4,5,2,2,3*,-,4,100.00,0,0,0,0,2023
148,"Chetan Sakariya
DC",4,2,2,1,4,4.00,6,66.66,0,0,1,0,2023
149,"Vaibhav Arora
KKR",3,5,2,2,2*,-,2,150.00,0,0,0,0,2023
150,"Karn Sharma
RCB",3,7,2,0,2,1.50,5,60.00,0,0,0,0,2023
151,"Arshdeep Singh
PBKS",2,14,2,2,2*,-,2,100.00,0,0,0,0,2023
152,"Mitchell Santner
CSK",2,3,2,2,1*,-,4,50.00,0,0,0,0,2023
153,"Swapnil Singh
LSG",2,2,1,1,2*,-,4,50.00,0,0,0,0,2023
154,"Wayne Parnell
RCB",2,7,1,0,2,2.00,5,40.00,0,0,0,0,2023
155,"Sandeep Sharma
RR",2,12,2,2,2*,-,6,33.33,0,0,0,0,2023
156,"Mustafizur Rahman
DC",1,2,1,1,1*,-,1,100.00,0,0,0,0,2023
157,"Ishant Sharma
DC",1,8,1,1,1*,-,1,100.00,0,0,0,0,2023
158,"Abdul Basith
RR",1,1,1,1,1*,-,1,100.00,0,0,0,0,2023
159,"Deepak Chahar
CSK",1,10,1,1,1*,-,2,50.00,0,0,0,0,2023
160,"Mohit Rathee
PBKS",1,1,1,1,1*,-,2,50.00,0,0,0,0,2023
161,"Josh Hazlewood
RCB",1,3,1,1,1*,-,2,50.00,0,0,0,0,2023
162,"Mohammed Siraj
RCB",1,14,2,1,1*,1.00,2,50.00,0,0,0,0,2023
163,"Yudhvir Singh
LSG",1,3,2,0,1,0.50,2,50.00,0,0,0,0,2023
164,"Fazalhaq Farooqi
SRH",1,4,1,1,1*,-,5,20.00,0,0,0,0,2023
165,"Nathan Ellis
PBKS",1,10,2,0,1,0.50,7,14.28,0,0,0,0,2023
166,"Varun Chakaravarthy
KKR",1,14,2,1,1,1.00,9,11.11,0,0,0,0,2023
